well,MOPS,Glucose,Tryptone,YE,Glutamate,NaCl,mu,mu_pred,residual
B2,11,0,26,14,0,0,0.708,0.7073386001484026,0.0006613998515974107
B3,7,0,14,20,0,0,0.716,0.7110445528838689,0.004955447116131051
B4,9,0,20,26,0,0,0.734,0.7365794562574187,-0.002579456257418733
B5,0,0,26,14,10,0,0.762,0.7617759183362841,0.00022408166371590266
B6,0,0,14,20,6,0,0.756,0.7503354224551231,0.005664577544876925
B7,0,0,20,26,8,0,0.75,0.7533871977846943,-0.003387197784694318
B8,12,18,0,0,0,0,0.61,0.6198328990304163,-0.009832899030416287
B9,16,12,0,0,0,0,0.74,0.6954996199086504,0.0445003800913496
B10,18,8,0,0,0,0,0.691,0.7210234295866469,-0.030023429586646944
B11,0,0,0,0,0,0,0.641,0.6665005346261883,-0.025500534626188287
A1,0,0,0,0,0,0,0.674,0.6665005346261883,0.007499465373811742
A2,0,20,0,0,0,0,0.613,0.6253999189874998,-0.012399918987499814
A3,0,0,0,0,0,20,0.534,0.5476446187487016,-0.013644618748701598
A4,0,20,0,0,0,20,0.549,0.5351156999842954,0.01388430001570462
B1,20,0,0,0,0,0,0.684,0.6931067392238247,-0.009106739223824656
B2v,20,20,0,0,0,0,0.659,0.6495242370012841,0.009475762998715886
B3v,20,0,0,0,0,20,0.703,0.689022492663454,0.013977507336546013
B4v,20,20,0,0,0,20,0.66,0.6740116873151958,-0.014011687315195753
C1,0,0,0,0,0,0,0.683,0.6665005346261883,0.01649946537381175
C2,0,0,0,0,0,0,0.725,0.6665005346261883,0.05849946537381168
C3,0,0,0,0,0,0,0.625,0.6665005346261883,-0.0415005346261883
