team,condition,well,mu_matched,R2_matched,mu_full,R2_full,window_min
ViNatX,Def-Min (A1),A1,0.6741331493234222,0.98134806199948,0.6741331493234222,0.98134806199948,109.0
ViNatX,Def-Min+Gluc (A2),A2,0.6134042167035023,0.9955051037993854,0.6134042167035023,0.9955051037993854,109.0
ViNatX,Def-Min+NaCl (A3),A3,0.5342235898640749,0.9909089315179099,0.5342235898640749,0.9909089315179099,109.0
ViNatX,Def-Min+Gluc+NaCl (A4),A4,0.5492578822582462,0.9892226325494873,0.5492578822582462,0.9892226325494873,109.0
ViNatX,Def-Min+MOPS (B1),B1,0.6836852527631011,0.9963096185144144,0.6836852527631011,0.9963096185144144,109.0
ViNatX,Def-Min+Gluc+MOPS (B2),B2,0.6585944378985916,0.9950095846160958,0.6585944378985916,0.9950095846160958,109.0
ViNatX,Def-Min+MOPS+NaCl (B3),B3,0.7028672104049651,0.996454051090396,0.7028672104049651,0.996454051090396,109.0
ViNatX,Def-Min+Gluc+MOPS+NaCl (B4),B4,0.6604317395919472,0.9961652077890298,0.6604317395919472,0.9961652077890298,109.0
ViNatX,NBxCyclone (C1),C1,0.6829612681471066,0.973288354765318,0.6829612681471066,0.973288354765318,109.0
ViNatX,LBv2 (C2),C2,0.725428275463121,0.9740221054342701,0.725428275463121,0.9740221054342701,109.0
ViNatX,Semi-Defined (C3),C3,0.6252417865211551,0.9589483243693463,0.6252417865211551,0.9589483243693463,109.0
ViNatX,Def-Glycerol (C4),C4,0.24125973157177102,0.9214841291962752,0.24125973157177102,0.9214841291962752,109.0
CellAI,Semi-Def+Tryp+YE+MOPS (B2),B2,0.7482481292530729,0.9851101898378372,0.5233231902847489,0.8900489619852555,109.0
CellAI,Semi-Def+Tryp+YE+MOPS (B3),B3,0.7538162551301701,0.983208042329973,0.5471966622757983,0.902584290894316,109.0
CellAI,Semi-Def+Tryp+YE+MOPS (B4),B4,0.7692113196460293,0.984319124939378,0.5761410161433501,0.9208827611274164,109.0
CellAI,HBDef+Tryp+YE+Glut (B5),B5,0.8084104901659604,0.9840043664086413,0.5811853031440681,0.9016182219691996,109.0
CellAI,HBDef+Tryp+YE+Glut (B6),B6,0.7894857803523593,0.9886094835846069,0.5790618562021667,0.9088255659692915,109.0
CellAI,HBDef+Tryp+YE+Glut (B7),B7,0.7768319004979669,0.9895798327131152,0.5937293074525897,0.9282656967537822,109.0
CellAI,LBv2+Gluc+KH2PO4+MOPS (B8),B8,0.6185249519318509,0.9829953906169464,0.5218990699063046,0.9524982684267755,109.0
CellAI,LBv2+Gluc+KH2PO4+MOPS (B9),B9,0.7501032756986978,0.9804914361194625,0.6225177310411781,0.950545481816123,109.0
CellAI,LBv2+Gluc+KH2PO4+MOPS (B10),B10,0.6943744621204883,0.9759667658092211,0.596662560206523,0.959127624791926,109.0
CellAI,Novel Bio Cyclone (B11),B11,0.6688009140793859,0.9830529588190114,0.48550670951919833,0.9099396205339464,109.0
