team,condition,well,mu_full,mu_early,mu_late,mu_last3,decel_ratio,latest_od,mid_time_min
CellAI,HBDef+Tryp+YE+Glut (B5),B5,0.5811853031440681,0.8239369006534798,0.15323096063939798,-0.3607450514877091,0.1859741450077884,0.474,76.06651003333333
CellAI,HBDef+Tryp+YE+Glut (B6),B6,0.5790618562021667,0.7765587808209345,0.16990177407533819,-0.37338365944538177,0.21878804061133342,0.4882,76.06651003333333
CellAI,HBDef+Tryp+YE+Glut (B7),B7,0.5937293074525897,0.7536558661710097,0.23523141539545397,-0.3329468861826044,0.3121204596874701,0.5223,76.06651003333333
CellAI,Semi-Def+Tryp+YE+MOPS (B2),B2,0.5233231902847489,0.7538737274926787,0.10268163940296779,-0.0230554011941909,0.13620535596124086,0.5001,76.06651003333333
CellAI,Semi-Def+Tryp+YE+MOPS (B3),B3,0.5471966622757983,0.7550819298980445,0.1508670338801356,-0.3845595114167727,0.19980220411380595,0.4664,76.06651003333333
CellAI,Semi-Def+Tryp+YE+MOPS (B4),B4,0.5761410161433501,0.7550719192216669,0.20367563664423163,-0.27991172338482695,0.26974336014797345,0.5362,76.06651003333333
CellAI,LBv2+Gluc+KH2PO4+MOPS (B8),B8,0.5218990699063046,0.5496443294193436,0.30694008986774945,-0.3816404149599724,0.5584340153058756,0.3446,76.06651003333333
CellAI,LBv2+Gluc+KH2PO4+MOPS (B9),B9,0.6225177310411781,0.6756447336567047,0.34467798258547905,-0.3124078585334616,0.5101467759839152,0.4278,76.06651003333333
CellAI,LBv2+Gluc+KH2PO4+MOPS (B10),B10,0.596662560206523,0.5942144546996624,0.3671627893914971,-0.20726360277396982,0.6178960920381422,0.4203,76.06651003333333
CellAI,Cyclone ctrl (B11),B11,0.48550670951919833,0.6983769602942137,0.15438554449433695,0.09259298022171605,0.22106334153591933,0.3567,76.06651003333333
ViNatX,Def-Min (A1),A1,0.6741331493234222,0.7641344591830597,0.4472180139493568,0.4472180139493568,0.5852608903771727,0.3423,54.153259225000006
ViNatX,Def-Min+Gluc (A2),A2,0.6134042167035023,0.6562435352770895,0.527947921359043,0.527947921359043,0.8044999957769101,0.323,54.153259225000006
ViNatX,Def-Min+NaCl (A3),A3,0.5342235898640749,0.5036669258411607,0.4517229718363124,0.4517229718363124,0.896868443529227,0.3415,54.153259225000006
ViNatX,Def-Min+Gluc+NaCl (A4),A4,0.5492578822582462,0.6077551304174836,0.4087952514648747,0.4087952514648747,0.672631510628404,0.3016,54.153259225000006
ViNatX,Def-Min+MOPS (B1),B1,0.6836852527631011,0.683320749780663,0.5856623902251346,0.5856623902251346,0.8570826956639681,0.3423,54.153259225000006
ViNatX,Def-Min+Gluc+MOPS (B2),B2,0.6585944378985916,0.7091391096957628,0.5660387372929884,0.5660387372929884,0.7982054995328521,0.3331,54.153259225000006
ViNatX,Def-Min+MOPS+NaCl (B3),B3,0.7028672104049651,0.7091588058732554,0.6358626165225801,0.6358626165225801,0.8966434757015833,0.3589,54.153259225000006
ViNatX,Def-Min+Gluc+MOPS+NaCl (B4),B4,0.6604317395919472,0.5982240646246577,0.644419840011293,0.644419840011293,1.077221526378448,0.3293,54.153259225000006
ViNatX,NBxCyclone (C1),C1,0.6829612681471066,0.5586687239398802,0.4981380366856329,0.4981380366856329,0.8916519134499443,0.3469,54.153259225000006
ViNatX,LBv2 (C2),C2,0.725428275463121,0.740967651326002,0.4908120222179405,0.4908120222179405,0.6623933195188827,0.3795,54.153259225000006
ViNatX,Semi-Defined (C3),C3,0.6252417865211551,0.5155522373907065,0.37561314451752076,0.37561314451752076,0.7285646677018798,0.3136,54.153259225000006
ViNatX,Def-Glycerol (C4),C4,0.24125973157177102,0.20586225206679792,0.39969019526923233,0.39969019526923233,1.9415419352331837,0.1868,54.153259225000006
